company_name,company_symbol,date_uploaded,report_text,quarter,year,pdf_url
Unknown Company (DIPD),DIPD,07 Aug 201609:30 AM,Quarterly Financial Report as of 30/06/2016,Q2,2016,https://cdn.cse.lk/cmt/upload_report_file/670_1470654908834.pdf
Unknown Company (DIPD),DIPD,16 May 201609:30 AM,Quarterly Financial Report as of 31/03/2016,Q1,2016,https://cdn.cse.lk/cmt/upload_report_file/670_1463476540686.pdf
Unknown Company (DIPD),DIPD,02 Feb 201608:30 AM,Quarterly Financial Report as of 31/12/2015,Q4,2015,https://cdn.cse.lk/cmt/upload_report_file/670_1454490976353.pdf
Unknown Company (DIPD),DIPD,29 Oct 201509:30 AM,Quarterly Financial Report as of 30-09-2015,Q3,2015,https://cdn.cse.lk/cmt/upload_report_file/670_1446197797799.pdf
Unknown Company (DIPD),DIPD,06 Aug 201509:30 AM,Quarterly Financial Report as of 30/06/2015,Q2,2015,https://cdn.cse.lk/cmt/upload_report_file/670_1438938617806.pdf
Unknown Company (DIPD),DIPD,14 May 201509:30 AM,quarterly financial report as of 31-03-2015,Q1,2015,https://cdn.cse.lk/cmt/upload_report_file/670_1431680649237.pdf
Unknown Company (DIPD),DIPD,04 Feb 201508:30 AM,Quarterly Financial Report as of 31-12-2014,Q4,2014,https://cdn.cse.lk/cmt/upload_report_file/670_1423127178756.pdf
Unknown Company (DIPD),DIPD,29 Oct 201409:30 AM,Interim Financial Statements as at 30-09-2014,Q3,2014,https://cdn.cse.lk/cmt/upload_report_file/670_1414661979678.pdf
Unknown Company (DIPD),DIPD,31 Jul 201409:30 AM,Interim Financial Statements as at 30-06-2014,Q2,2014,https://cdn.cse.lk/cmt/upload_report_file/670_1406887081798.pdf
Unknown Company (DIPD),DIPD,07 May 201409:30 AM,Interim Financial Statements as of 31-03-2014,Q1,2014,https://cdn.cse.lk/cmt/upload_report_file/670_1399543384302.pdf
